챔피언	레벨	공격력	공격속도	체력	마나	체력재생	마나재생	방어력	마법저항	이동속도	사거리	인기도
가렌	1	57.9	0.625	616.28	0	7.84	0	27.54	32.1	340	175	7.24
갈리오	1	62	0.638	577.8	369	8.71	6	26.88	32.1	335	125	6.71
갱플랭크	1	59	0.651	580	282.2	5.51	7.68	26.04	32.1	345	125	6.65
그라가스	1	61.4	0.651	583.52	400	8.68	6	26.05	32.1	330	125	7.1
그레이브즈	1	60.8	0.625	551.12	322.2	6.68	7.93	24.38	30	345	425	7.7
나르	1	48	0.625	540	100	2.5	0	23	30	325	150	7.07
나미	1	51.2	0.643	489.32	377.24	5.42	11.5	19.72	30	335	550	7.86
나서스	1	59.2	0.638	561.2	325.6	9.01	7.44	24.88	32.1	350	125	7.21
노틸러스	1	57.5	0.613	576.48	334	8.37	8.63	26.46	32.1	325	175	7.15
녹턴	1	59.2	0.668	582.8	273.8	8.26	6.76	26.88	32.1	345	125	7.59
누누	1	56.9	0.625	598.28	283.56	8.39	7.44	26.38	32.1	350	125	6.88
니달리	1	47.9	0.638	541.2	295.6	6.01	6	22.88	30	335	525	7.56
다리우스	1	55.9	0.625	582.24	263	9.85	6.59	29.88	32.1	340	175	7.66
다이애나	1	53	0.625	589.2	297.2	7.43	6	26.05	32.1	345	150	7.73
드레이븐	1	55.8	0.679	557.76	360.56	6.18	8.04	25.54	30	330	550	7.46
라이즈	1	55	0.625	558.48	392.4	5.27	6	21.55	30	340	550	7.64
람머스	1	55.9	0.625	564.48	310.44	7.92	7.84	31.38	32.1	335	125	7.46
럭스	1	53.5	0.625	477.72	384	5.42	6	18.72	30	330	550	7.71
럼블	1	61	0.644	584.4	100	8.01	0	25.88	32.1	345	125	7.47
레넥톤	1	58.3	0.665	572.16	100	7.96	0	25.58	32.1	345	125	7.61
레오나	1	60	0.625	576.16	302.2	8.43	6	27.21	32.1	335	125	7.8
렉사이	1	55.6	0.625	611.2	100	7.34	0	28.3	32.1	335	175	7.66
렝가	1	60	0.67	586.2	5	4.27	0	25.88	32.1	345	125	7.76
루시안	1	57.4	0.638	554.4	348.88	6.19	8.18	24.04	30	335	500	7.55
룰루	1	46.4	0.625	552.76	292.4	6.01	11	19.22	30	325	550	7.77
르블랑	1	54.9	0.625	516	334	7.42	6	21.88	30	335	525	7.46
리븐	1	56	0.625	558.48	0	3.34	0	24.38	32.1	345	125	7.91
리산드라	1	50.5	0.625	506.12	304	6.92	5.67	20.22	30	325	550	7.42
리신	1	61.2	0.651	570.8	200	7.43	50	24.22	32.1	350	125	7.71
마스터이	1	60	0.679	598.56	250.56	7.59	7.26	24.04	32.1	355	125	6.25
마오카이	1	63.5	0.694	572.2	377.28	8.68	7.21	28.72	30	335	125	7.27
말자하	1	54.7	0.625	514.4	325.6	5.42	6	21.88	30	340	550	7.69
말파아트	1	62	0.638	574.2	282.2	8.37	7.32	28.3	32.1	335	125	7.67
모데카이저	1	61	0.694	525	120	3.37	0	20	32.1	325	175	7.38
모르가나	1	55.5	0.625	547.48	340.8	5.71	6	25.38	30	335	450	7.7
문도	1	61.3	0.625	582.52	0	7.76	0	26.88	32.1	345	125	7.46
미스포츈	1	46	0.656	530	325.84	6.19	8.04	24.04	30	325	550	7.56
바드	1	46	0.625	535	350	5.4	6	21	30	330	500	6.1
바루스	1	54.7	0.658	537.76	360	5.42	7.34	23.21	30	330	575	7.68
바이	1	55.9	0.643	582.8	295.6	9.01	8.09	25.88	32.1	345	125	7.54
베이가	1	50.7	0.625	492.76	392.4	5.42	6	22.55	30	340	525	6.75
베인	1	56.9	0.658	498.44	231.8	5.42	6.97	19.01	30	330	550	7.29
벨코즈	1	54.9	0.625	507.68	375.6	5.42	6	21.88	30	340	525	7.67
볼리베어	1	59.5	0.625	584.48	270.4	8.09	8.09	26.38	32.1	345	125	7.5
브라움	1	55.4	0.644	576.16	310.6	8.18	6	26.72	32.1	335	125	7.66
브랜드	1	57	0.625	507.68	375.6	5.42	8.01	21.88	30	340	550	7.04
블라디미르	1	48	0.658	542.8	0	7.01	0	21.88	30	335	450	7.61
블리츠크랭크	1	61.5	0.625	582.6	267.2	8.51	8.5	24.38	32.1	325	125	7.47
빅토르	1	52	0.625	516.04	324	7.84	6	22.72	30	335	525	7.14
뽀삐	1	62	0.638	559.08	235.4	8.37	7.16	28.72	30	345	125	6.26
사이온	1	59.7	0.625	542.64	325.6	10.18	8.01	23.04	32.1	345	175	6.65
