이름 통솔 무력 지력
가규	78	61	84
가범	60	62	73
가충	54	31	89
가화	49	65	41
가후	86	48	97
간옹	20	32	74
감녕	86	94	76
감택	43	49	83
강유	90	89	90
건석	16	7	78
견씨	15	4	71
견초	72	69	73
견홍	70	74	66
계옹	63	52	41
고간	74	56	48
고담	33	23	70
고당융	35	24	76
고람	76	82	66
고상	68	68	52
고순	85	86	55
고승	67	73	41
고옹	43	18	80
고유	57	43	71
고정	55	63	43
고패	66	61	69
공도	59	70	23
공손강	72	66	61
공손공	39	17	68
공손도	67	71	63
공손범	73	69	64
공손속	63	68	54
공손연	65	70	56
공손월	74	72	47
공손찬	84	83	70
공융	30	5	72
공주	26	16	68
공지	43	53	61
곽가	51	15	98
곽도	52	50	82
곽마	68	71	47
곽사	64	76	13
곽원	66	73	36
곽유지	13	9	68
곽익	73	69	69
곽준	80	66	73
곽혁	21	29	70
곽회	87	78	81
관구검	78	74	52
관구수	58	62	33
관구전	63	60	69
관색	74	88	52
관우	95	97	75
관이	50	62	44
관정	36	52	72
관통	63	60	61
관평	77	82	68
관해	70	82	10
관흥	76	86	62
괴량	68	33	88
괴월	47	27	82
교모	54	45	69
교수	64	69	38
교현	12	6	66
구건	39	52	65
구본	50	41	67
구성	55	70	38
국연	50	19	71
국의	82	78	51
극정	10	4	63
금선	52	68	13
금의	17	38	64
금환삼결	64	76	19
기령	78	83	51
나헌	85	71	75
낙통	76	58	75
냉포	71	82	68
녕수	67	69	72
노숙	80	56	92
노숙	71	53	74
노식	86	63	82
뇌동	69	78	51
뇌박	62	70	36
누규	52	13	87
누현	23	22	67
능조	75	81	42
능통	77	89	55
단경	71	68	43
담웅	58	73	14
당균	33	24	77
당빈	67	74	59
당자	61	71	50
대교	17	11	72
대래동주	51	53	53
대릉	70	75	39
도겸	51	27	63
도준	65	66	46
동궐	65	59	76
동도나	68	73	31
동민	49	60	25
동소	19	25	80
동습	72	85	50
동승	56	53	65
동윤	47	28	78
동조	17	13	56
동탁	74	87	69
동화	57	34	74
두기	66	32	74
두예	85	30	85
등무	61	75	29
등수	44	32	31
등애	94	87	89
등윤	29	41	71
등지	73	52	81
등충	72	85	69
등현	61	73	45
마균	2	7	60
마대	81	85	56
마등	82	80	51
마량	46	23	85
마막	19	12	7
마속	61	67	87
마완	71	74	16
마운	78	88	53
마준	38	52	31
마철	70	62	56
마초	88	97	44
마충	78	72	68
마충	67	77	64
마휴	68	73	48
만욱	21	25	71
만총	84	64	82
망아장	45	79	3
맹달	75	73	74
맹우	50	68	22
맹종	47	28	72
맹획	76	87	42
모개	63	39	59
목록대왕	65	71	39
목순	52	77	11
무안국	67	83	34
문빙	86	82	66
문앙	76	91	60
문추	78	94	25
문호	66	72	45
문흠	74	83	43
미방	54	61	32
미씨	12	6	66
미축	33	29	77
반봉	56	77	4
반장	76	80	70
반준	61	18	67
방덕	80	94	70
방열	68	80	44
방통	78	34	97
방회	69	75	49
방희	60	38	68
배수	8	9	70
배원소	49	65	25
번건	41	24	71
번능	69	61	36
번씨	23	22	72
번주	66	73	31
법정	82	47	94
변씨	36	24	74
변희	56	70	59
보즐	72	51	84
보천	71	60	71
보협	71	49	69
복양흥	37	32	70
봉기	27	21	84
부동	66	72	46
부사인	46	63	37
부손	14	13	69
부첨	73	85	72
부하	44	35	81
비시	15	28	64
비연	60	66	21
비요	70	66	73
비의	77	30	83
사마가	60	84	25
사마랑	20	21	71
사마망	73	58	78
사마부	70	37	76
사마사	80	64	88
사마소	76	57	87
사마염	69	59	76
사마유	71	68	75
사마의	98	63	96
사마주	61	52	61
사정	64	76	34
사찬	60	72	54
서막	55	32	67
서서	84	64	93
서성	87	81	78
서씨	41	16	80
서영	80	76	57
서질	68	83	24
서황	88	90	74
석포	69	71	56
설영	49	18	64
설종	34	16	72
설후	17	15	68
성공영	73	71	80
성만	61	68	66
성의	74	72	41
소교	16	12	73
소비	69	63	66
소유	50	59	49
소제	21	15	72
손건	34	33	78
손견	93	90	74
손관	72	78	51
손광	52	46	44
손교	77	72	66
손권	76	67	80
손기	60	67	51
손노반	26	28	72
손등	62	37	79
손랑	34	43	30
손량	21	7	70
손례	78	81	62
손상향	72	86	67
손소	80	79	75
손수	55	51	53
손씨	23	22	62
손유	77	70	68
손이	69	71	55
손익	67	78	27
손정	66	53	72
손준	64	70	65
손중	62	71	36
손진	67	70	48
손책	92	92	69
손침	25	39	65
손호	13	28	31
손화	31	39	68
손환	82	73	72
손휴	57	39	78
손흠	66	69	35
송겸	66	78	42
송헌	68	77	38
순심	19	25	77
순우경	72	66	29
순욱	52	14	95
순욱	8	19	77
순유	73	26	94
순의	16	13	70
시삭	38	65	47
신비	39	24	78
신의	55	59	59
신창	50	26	42
신탐	56	62	52
신평	69	43	76
신헌영	42	28	84
심배	84	60	83
심영	70	77	61
아회남	65	74	26
악진	80	84	52
악취	53	66	58
악침	73	75	43
악환	60	82	42
안량	79	93	42
양강	60	69	41
양백	44	45	19
양봉	54	62	52
양봉	66	65	31
양부	67	50	83
양서	56	62	66
양송	2	5	28
양수	10	4	83
양습	73	40	73
양앙	68	72	38
양의	68	40	82
양임	70	78	53
양제	67	68	71
양조	70	65	68
양조	53	61	36
양추	67	64	58
양추	52	65	40
양호	90	64	84
양홍	18	15	76
양회	62	68	68
양흔	61	68	61
양흥	61	65	19
엄강	68	71	40
엄백호	67	70	23
엄안	79	83	69
엄여	61	78	44
엄정	50	55	39
엄준	13	2	70
여개	53	30	66
여거	70	59	71
여건	57	70	58
여광	56	70	13
여대	82	71	69
여몽	91	81	89
여범	73	63	74
여상	54	71	12
여영기	81	89	37
여위황	58	63	29
여포	87	100	26
염상	30	27	70
염우	52	61	58
염유	71	57	70
염포	29	25	82
염행	72	84	61
예형	3	6	83
오강	48	38	65
오거	49	61	23
오경	69	66	51
오국태	30	21	70
오란	62	80	35
오반	74	71	56
오언	74	72	77
오연	66	73	42
오의	83	73	68
오질	16	29	68
오찬	68	41	78
온회	62	36	73
올돌골	72	86	1
옹개	81	75	54
왕경	67	63	66
왕광	65	55	61
왕기	77	78	76
왕기	69	67	61
왕누	28	30	78
왕도	46	59	72
왕돈	60	66	46
왕랑	47	35	79
왕릉	74	64	70
왕문	65	64	31
왕보	62	41	79
왕상	23	19	68
왕수	54	27	76
왕숙	36	22	75
왕쌍	64	88	19
왕업	33	6	35
왕위	60	70	59
왕윤	26	6	67
왕융	57	36	72
왕이	58	26	82
왕준	81	73	77
왕찬	6	3	79
왕창	74	64	79
왕충	39	57	21
왕평	83	79	76
왕항	76	60	61
왕혼	76	76	72
요립	22	15	69
요화	73	76	64
우금	84	78	70
우금	72	79	38
우번	43	46	86
우보	38	60	21
우사	61	34	74
우전	64	76	40
원담	60	69	30
원상	63	71	42
원소	81	69	70
원술	44	65	61
원요	41	50	41
원유	56	40	73
원윤	17	14	39
원환	30	17	72
원희	66	51	63
위관	69	46	79
위막	57	62	59
위소	16	19	65
위속	67	78	31
위연	81	92	69
위유	46	29	73
위풍	52	23	72
유괴	71	73	66
유기	52	12	62
